,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb,LREE,HREE,LREE_HREE_ratio,Eu_anomaly,Nd_Yb_ratio,Th_U_ratio,Gd_Yb_ratio,sum_REE,mean_REE,std_REE,max_REE,min_REE,range_REE
4133,7.2,76.58,145.64,0.63,17.58,30.62,69.77,1.03,2.7,87.93,32.49,214.05,320.83,11.56,675.93,0.01710236264538878,0.09144273928455911,0.0032104229554267903,0.4107918691390242,0.05479537432660482,1007.05,77.46538461538461,93.13994777218804,320.83,0.63,320.2
1389,29.9,53.8,92.5,0.51,13.4,19.4,34.1,1.25,2.44,101.0,19.4,64.0,208.0,34.099999999999994,427.2,0.07982209719142766,0.08919137457270145,0.006009615355723003,1.5781249753417974,0.0644230766133506,639.6999999999999,49.207692307692305,55.836578464968255,208.0,0.51,207.49
5666,15.0,131.0,187.0,2.2,41.0,43.0,60.0,6.0,9.2,163.0,35.0,177.0,348.0,32.4,804.0,0.04029850741256404,0.1132757218005676,0.017241379260800636,0.9209039495994127,0.117816091615471,1217.4,93.64615384615385,98.38411860101918,348.0,2.2,345.8
6749,33.0,112.0,135.0,0.9,46.0,36.0,39.0,44.0,28.0,400.0,26.0,903.0,212.0,105.9,560.0,0.18910714251945154,0.025077519556155815,0.20754716883232469,0.4429678843377986,0.2169811310519758,2014.9,154.9923076923077,239.91133125366406,903.0,0.9,902.1
1225,11.6,68.7,119.2,0.28,14.3,23.9,41.7,1.66,3.3,80.0,23.2,80.0,253.0,16.84,529.7,0.03179158007968363,0.040759893263970344,0.006561264796200534,0.9999999875000002,0.056521738907028704,720.84,55.44923076923077,67.350073092478,253.0,0.28,252.72
5530,5.01,85.1,139.0,1.93,15.6,31.5,92.6,0.65,1.94,100.0,34.2,425.0,396.0,9.53,778.4000000000001,0.01224306267697448,0.35082791118427153,0.0016414141372691562,0.2352941170934256,0.03939393929445975,1328.53,102.19461538461539,138.46644101149755,425.0,0.65,424.35
2794,12.8,55.9,107.1,0.2,8.4,21.3,59.8,0.43,0.58,276.0,31.3,697.0,307.0,14.01,582.4,0.024055631826827555,0.0906100377375345,0.0014006514612356629,0.3959827827891208,0.027361563428789697,1577.81,121.36999999999999,193.06730623920132,697.0,0.2,696.8
5651,3.3,181.0,413.0,0.3,26.0,81.0,167.0,1.8,3.7,258.0,91.0,198.0,925.0,9.100000000000001,1858.0,0.004897739502207891,0.03058677697675703,0.0019459459438422207,1.3030302964493419,0.028108108077720965,2349.1,180.7,245.52542403212306,925.0,0.3,924.7
914,2.06,28.53,76.16,0.17,3.01,10.22,37.23,0.05,0.39,83.45,13.89,154.01,276.23,2.67,442.26,0.006037172690188638,0.15690370004838564,0.00018100857915140072,0.5418479284342061,0.010896716464914321,685.4,52.723076923076924,78.03394018823973,276.23,0.05,276.18
6385,39.6,18.6,23.8,0.46,4.65,5.81,9.23,0.39,0.79,27.5,4.89,7.54,45.1,41.24,107.43,0.3838778703911582,0.24000359690505574,0.008647449919125279,3.647214370395972,0.10310421057418603,188.35999999999999,14.489230769230769,14.581208909224157,45.1,0.39,44.71
4881,4.79,42.1,92.7,0.56,8.12,17.68,59.2,0.55,3.19,9.75,25.02,33.57,254.0,9.09,490.7,0.0185245567179039,0.11003089928538663,0.0021653543221836448,0.29043788232237466,0.03196850381114762,551.23,42.402307692307694,66.37491233125847,254.0,0.55,253.45
1922,4.7,61.0,118.0,0.59,13.5,20.1,32.4,1.56,1.1,82.0,22.0,122.9,173.0,7.949999999999999,426.5,0.01864009374293061,0.15310478719672294,0.00901734098833907,0.6672091076712033,0.07803468162985733,652.85,50.21923076923077,54.6054990836776,173.0,0.59,172.41
6253,16.5,11.6,23.5,0.32,3.08,4.73,14.8,0.21,0.74,136.0,5.98,132.0,64.9,17.77,125.51,0.14158234290827548,0.2119623202738028,0.0032357472536864826,1.0303030224977043,0.04745762638740175,414.36,31.873846153846156,46.551193414176,136.0,0.21,135.79
2452,3.08,106.0,228.0,0.23,18.0,42.8,110.0,0.49,2.1,96.0,53.4,2090.0,520.0,5.9,1060.2,0.005564987732913612,0.03740950230152576,0.0009423076904955621,0.04593301433208947,0.03461538454881657,3270.1,251.54615384615383,548.1069878512415,2090.0,0.23,2089.77
910,8.73,118.14,225.07,0.58,22.94,34.48,65.04,2.45,4.62,293.38,34.1,202.46,553.5,16.38,1030.33,0.015897819129892538,0.05633915084862655,0.004426377589112236,1.4490763536052733,0.04144534771193253,1565.4900000000002,120.42230769230771,156.08917417513155,553.5,0.58,552.92
2276,2.24,105.0,106.0,0.5,14.7,30.8,22.1,0.38,1.69,12.7,18.9,523.0,152.0,4.8100000000000005,434.8,0.011062557472257229,0.10031548470356899,0.002499999983552632,0.02428298274515682,0.09671052567953602,990.01,76.15461538461538,137.471697037574,523.0,0.38,522.62
386,24.92,49.8,104.0,0.48,10.5,20.9,59.7,0.81,1.83,264.0,24.4,349.0,258.0,28.040000000000003,516.8,0.05425696583928607,0.10950174288328302,0.0031395348715521905,0.7564469892365416,0.04069767426086173,1168.3400000000001,89.8723076923077,114.92050089276407,349.0,0.48,348.52
736,8.99,131.5,304.82,11.3,22.69,43.51,86.22,8.69,11.63,69.17,47.22,248.51,861.34,40.61,1474.6100000000001,0.02753948499770143,0.6956188424345371,0.010088931188509842,0.2783388987230337,0.026342675335706372,1855.5900000000001,142.73769230769233,226.39040626431304,861.34,8.69,852.65
1678,7.6,91.8,153.4,0.15,18.9,32.4,49.3,1.29,2.87,76.0,32.2,125.0,339.0,11.910000000000002,698.1,0.01706059301380806,0.020366640830557697,0.003805309723288172,0.607999995136,0.055752212224919724,929.9100000000001,71.53153846153847,90.59839129546089,339.0,0.15,338.85
6072,1.06,18.75,9.23,0.2,11.09,3.85,2.18,0.72,2.34,34.88,1.58,322.17,11.77,4.32,47.36,0.09121621429019819,0.03926054151952154,0.061172467190104746,0.10826582205585306,0.9422259182475856,419.82,32.293846153846154,84.20671730362878,322.17,0.2,321.97
1811,3.7,47.8,85.3,0.09,10.2,17.1,25.7,0.89,1.72,41.0,16.7,49.0,186.0,6.3999999999999995,378.59999999999997,0.016904384530099355,0.021487118934679708,0.004784946210833622,0.8367346768013332,0.05483870938258758,485.19999999999993,37.32307692307692,49.211514972790255,186.0,0.09,185.91
4844,5.1,20.41,36.6,0.62,5.4,7.74,20.58,0.67,3.32,12.73,9.19,55.9,105.5,9.709999999999999,200.01999999999998,0.04854514524275,0.1464285479096986,0.0063507108402776225,0.22772808179377316,0.05118483363805845,283.76,21.827692307692306,28.5742498801459,105.5,0.62,104.88
6867,172.0,866.0,640.0,8.0,416.0,213.0,106.0,186.0,217.0,1508.0,110.0,679.0,775.0,583.0,2710.0,0.21512915121212947,0.02662646147906404,0.23999999969032257,2.220913104240187,0.5367741928557752,5896.0,453.53846153846155,408.96842371708004,1508.0,8.0,1500.0
966,9.09,84.05,203.73,0.62,15.34,30.55,100.07,0.82,2.11,85.15,40.18,139.67,708.69,12.639999999999999,1167.27,0.010828685727527746,0.10897773451712046,0.0011570644412125688,0.609651316605919,0.021645571375854645,1420.07,109.23615384615384,182.99480242885681,708.69,0.62,708.07
