lat,lon,class,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
40.49,-121.51,magmatic,8.45,31.79,58.36,0.49,5.73,12.14,28.29,0.3,0.85,32,14.37,65,139.69
40.49,-121.51,magmatic,46.28,66.46,189.8,0.51,14.86,37.68,88.34,0.57,1.69,314,46.54,511,436
40.49,-121.51,magmatic,68.14,90.61,225.64,0.85,21.73,45.38,96.36,0.72,2.46,757,53.23,811,501.76
40.49,-121.51,magmatic,170.38,303.39,519.85,2.95,70,111.31,217.11,2.78,7.38,3497,119.34,2127,1104.03
40.49,-121.51,magmatic,18.54,41.55,87.39,0.27,7.4,16.25,42.14,0.14,0.81,67,21.6,137,199.8
40.49,-121.51,magmatic,28.52,154.58,274.86,1.26,33.17,55.84,103.36,1.79,3.78,176,59.72,254,545.58
40.49,-121.51,magmatic,31.07,28.53,131.72,0.29,9.14,24.36,61.59,0.3,1.12,170,32.11,318,312.55
40.49,-121.51,magmatic,21.56,80.27,165.26,0.43,12.42,30.24,82.74,0.35,1.2,149,39.44,342,411.67
40.49,-121.51,magmatic,258.59,288.92,559.33,2.22,79.42,129.96,170.59,3.45,9.5,3823,119.03,2025,973.49
40.49,-121.51,magmatic,21.13,46.01,120.22,0.34,8.37,22.54,61.2,0.23,0.81,100,29.03,221,286.61
40.49,-121.51,magmatic,44.89,119.81,260.18,0.93,26.84,51.85,106.8,1.18,2.88,308,59.99,458,543.83
40.49,-121.51,magmatic,58.74,213.13,419.5,2.03,47.32,84.24,158.33,2.49,5.48,676,94.75,714,827.91
40.49,-121.51,magmatic,28.5,127.04,280.41,1.58,28.94,56,119.38,1.17,2.79,196,64.12,260,593.8
40.49,-121.51,magmatic,57.84,235.25,441.49,4.88,63.92,92.54,174.16,4.83,8.2,487,98.97,478,890.14
40.49,-121.51,magmatic,63.95,255.71,576.11,1.4,48.41,109.92,239,1.34,4.04,1172,134.35,1427,1205.73
40.49,-121.51,magmatic,19.79,43.93,108.28,0.3,8.76,20.05,61,0.61,0.84,128,28.18,286,283.82
40.49,-121.51,magmatic,8.88,26.14,53.64,0.38,4.66,9.61,29.13,0.12,0.53,32,13.51,67,138.13
40.49,-121.51,magmatic,22.56,41.88,90.04,0.24,5.89,16.91,45.73,0.12,0.67,74,22.66,168,222.26
40.49,-121.51,magmatic,21.4,66.96,124.82,0.63,13.65,25.61,55.02,0.56,1.34,104,30.48,183,281.33
40.49,-121.51,magmatic,18.55,57.87,92.52,0.41,10.33,19.88,48.09,0.39,0.96,152,23.12,204,217.47
40.49,-121.51,magmatic,29.78,133.27,231.45,1.29,26.63,47.52,95.74,1.66,3.81,190,52.31,246,487.51
40.49,-121.51,magmatic,23.33,72.1,182.42,0.55,13.96,32.95,99.63,0.32,1.33,162,46.28,311,448.79
40.49,-121.51,magmatic,39.45,93.31,202.97,1.07,20.57,41.73,86.36,0.73,2.05,205,47.5,318,455.54
40.49,-121.51,magmatic,34.54,63.75,128.2,0.43,11.35,25.6,60.05,0.29,1.06,219,29.86,365,298.97
40.49,-121.51,magmatic,39.67,133.54,234.09,1.23,27.66,49.92,97.7,1.25,3.57,272,52.76,366,505.82
40.49,-121.51,magmatic,56.44,136.2,274.85,1.33,30.39,54.69,109.71,1.63,3.69,361,63.39,424,591.74
40.49,-121.51,magmatic,41.54,161.48,382.32,1.88,47.08,80.7,159.62,2.64,5.9,355,88.18,464,802.06
40.49,-121.51,magmatic,32.38,178.5,330.94,1.23,30.15,61.36,164.18,1.03,2.74,314,81.9,488,769.8
40.49,-121.51,magmatic,45.15,69.13,160.29,0.55,13.32,31.22,72.08,0.51,1.45,324,38.63,503,368.7
