lat,lon,class,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
40.49,-121.51,magmatic,13.78466558,129.2276423,364.75,8.703374778,28.79396985,222.3443223,1150,0.656455142,5.743243243,1103.448276,581.7813765,8125,867.6397516
40.49,-121.51,magmatic,75.49755302,270.1626016,1186.25,9.058614565,74.67336683,690.1098901,3591.056911,1.24726477,11.41891892,10827.58621,1884.210526,63875,2708.074534
40.49,-121.51,magmatic,111.1582382,368.3333333,1410.25,15.09769094,109.1959799,831.1355311,3917.073171,1.575492341,16.62162162,26103.44828,2155.060729,101375,3116.521739
40.49,-121.51,magmatic,277.9445351,1233.292683,3249.0625,52.39786856,351.758794,2038.644689,8825.609756,6.083150985,49.86486486,120586.2069,4831.578947,265875,6857.329193
40.49,-121.51,magmatic,30.24469821,168.902439,546.1875,4.795737123,37.18592965,297.6190476,1713.00813,0.306345733,5.472972973,2310.344828,874.4939271,17125,1240.993789
40.49,-121.51,magmatic,46.52528548,628.3739837,1717.875,22.38010657,166.6834171,1022.710623,4201.626016,3.916849015,25.54054054,6068.965517,2417.813765,31750,3388.695652
40.49,-121.51,magmatic,50.68515498,115.9756098,823.25,5.150976909,45.92964824,446.1538462,2503.658537,0.656455142,7.567567568,5862.068966,1300,39750,1941.304348
40.49,-121.51,magmatic,35.17128874,326.300813,1032.875,7.637655417,62.4120603,553.8461538,3363.414634,0.765864333,8.108108108,5137.931034,1596.761134,42750,2556.956522
40.49,-121.51,magmatic,421.8433931,1174.471545,3495.8125,39.43161634,399.0954774,2380.21978,6934.552846,7.549234136,64.18918919,131827.5862,4819.02834,253125,6046.521739
40.49,-121.51,magmatic,34.46982055,187.0325203,751.375,6.039076377,42.06030151,412.8205128,2487.804878,0.503282276,5.472972973,3448.275862,1175.303644,27625,1780.186335
40.49,-121.51,magmatic,73.23001631,487.0325203,1626.125,16.51865009,134.8743719,949.6336996,4341.463415,2.582056893,19.45945946,10620.68966,2428.744939,57250,3377.826087
40.49,-121.51,magmatic,95.82381729,866.3821138,2621.875,36.05683837,237.7889447,1542.857143,6436.178862,5.448577681,37.02702703,23310.34483,3836.032389,89250,5142.298137
40.49,-121.51,magmatic,46.49265905,516.4227642,1752.5625,28.06394316,145.4271357,1025.641026,4852.845528,2.560175055,18.85135135,6758.62069,2595.951417,32500,3688.198758
40.49,-121.51,magmatic,94.35562806,956.300813,2759.3125,86.67850799,321.2060302,1694.871795,7079.674797,10.56892779,55.40540541,16793.10345,4006.882591,59750,5528.819876
40.49,-121.51,magmatic,104.3230016,1039.471545,3600.6875,24.86678508,243.2663317,2013.186813,9715.447154,2.932166302,27.2972973,40413.7931,5439.271255,178375,7489.006211
40.49,-121.51,magmatic,32.28384992,178.5772358,676.75,5.328596803,44.0201005,367.2161172,2479.674797,1.334792123,5.675675676,4413.793103,1140.890688,35750,1762.857143
40.49,-121.51,magmatic,14.48613377,106.2601626,335.25,6.74955595,23.41708543,176.007326,1184.146341,0.262582057,3.581081081,1103.448276,546.9635628,8375,857.9503106
40.49,-121.51,magmatic,36.80261011,170.2439024,562.75,4.262877442,29.59798995,309.7069597,1858.943089,0.262582057,4.527027027,2551.724138,917.4089069,21000,1380.496894
40.49,-121.51,magmatic,34.91027732,272.195122,780.125,11.19005329,68.59296482,469.047619,2236.585366,1.225382932,9.054054054,3586.206897,1234.008097,22875,1747.391304
40.49,-121.51,magmatic,30.26101142,235.2439024,578.25,7.282415631,51.90954774,364.1025641,1954.878049,0.853391685,6.486486486,5241.37931,936.0323887,25500,1350.745342
40.49,-121.51,magmatic,48.58075041,541.7479675,1446.5625,22.91296625,133.8190955,870.3296703,3891.869919,3.63238512,25.74324324,6551.724138,2117.813765,30750,3028.012422
40.49,-121.51,magmatic,38.05872757,293.0894309,1140.125,9.769094139,70.15075377,603.4798535,4050,0.700218818,8.986486486,5586.206897,1873.684211,38875,2787.515528
40.49,-121.51,magmatic,64.35562806,379.3089431,1268.5625,19.0053286,103.3668342,764.2857143,3510.569106,1.597374179,13.85135135,7068.965517,1923.076923,39750,2829.440994
40.49,-121.51,magmatic,56.34584013,259.1463415,801.25,7.637655417,57.03517588,468.8644689,2441.056911,0.634573304,7.162162162,7551.724138,1208.906883,45625,1856.956522
40.49,-121.51,magmatic,64.71451876,542.8455285,1463.0625,21.84724689,138.9949749,914.2857143,3971.544715,2.735229759,24.12162162,9379.310345,2136.032389,45750,3141.73913
40.49,-121.51,magmatic,92.07177814,553.6585366,1717.8125,23.62344583,152.7135678,1001.648352,4459.756098,3.566739606,24.93243243,12448.27586,2566.396761,53000,3675.403727
40.49,-121.51,magmatic,67.76508972,656.4227642,2389.5,33.39253996,236.5829146,1478.021978,6488.617886,5.776805252,39.86486486,12241.37931,3570.040486,58000,4981.73913
40.49,-121.51,magmatic,52.82218597,725.6097561,2068.375,21.84724689,151.5075377,1123.809524,6673.98374,2.253829322,18.51351351,10827.58621,3315.789474,61000,4781.36646
40.49,-121.51,magmatic,73.65415987,281.0162602,1001.8125,9.769094139,66.93467337,571.7948718,2930.081301,1.115973742,9.797297297,11172.41379,1563.967611,62875,2290.062112
40.49,-121.51,magmatic,98.48287113,384.5934959,1732.0625,12.25577265,105.3266332,971.2454212,5301.219512,1.269146608,13.44594595,10965.51724,2737.246964,68250,4105.403727
40.49,-121.51,magmatic,141.3050571,642.7642276,1883.6875,20.78152753,153.8693467,1063.553114,5163.414634,1.859956236,20.47297297,51655.17241,2817.004049,150500,4105.52795
40.49,-121.51,magmatic,23.67047308,395.5691057,1151.9375,5.861456483,57.73869347,628.021978,3489.430894,0.415754923,6.756756757,3103.448276,1863.967611,25625,2642.111801
40.49,-121.51,magmatic,41.51712887,277.8455285,895.875,8.703374778,65.1758794,489.3772894,2573.577236,0.743982495,7.5,5655.172414,1414.574899,31250,1968.509317
40.49,-121.51,magmatic,73.55628059,527.7235772,1525.5,20.78152753,148.7437186,930.5860806,4250.406504,3.98249453,28.10810811,11551.72414,2187.854251,53750,3285.279503
40.49,-121.51,magmatic,100.1957586,301.097561,1259.5625,13.14387211,87.78894472,786.8131868,3754.878049,2.538293217,13.91891892,8862.068966,2025.910931,56750,2795.590062
40.49,-121.51,magmatic,30.39151713,154.4715447,599.875,7.282415631,38.54271357,341.2087912,2239.837398,1.269146608,6.283783784,3310.344828,1035.62753,31625,1604.037267
40.49,-121.51,magmatic,44.11092985,278.6178862,1033.3125,7.104795737,67.93969849,578.7545788,3463.821138,2.253829322,10.06756757,5103.448276,1711.740891,43625,2433.478261
40.49,-121.51,magmatic,40.09787928,219.7560976,820.9375,8.348134991,52.61306533,458.6080586,2915.447154,1.597374179,6.689189189,5448.275862,1394.331984,45125,2057.763975
40.49,-121.51,magmatic,31.89233279,211.5853659,780.8125,5.150976909,49.94974874,447.6190476,2489.430894,0.503282276,4.932432432,3551.724138,1282.995951,32000,1849.254658
40.49,-121.51,magmatic,35.04078303,271.4227642,911.3125,5.861456483,46.73366834,514.6520147,2920.731707,0.525164114,5.878378378,4379.310345,1509.716599,37375,2161.118012
40.49,-121.51,magmatic,36.83523654,238.5772358,890.1875,6.927175844,52.61306533,497.0695971,3014.227642,0.56892779,5.945945946,4655.172414,1500.809717,37375,2163.291925
40.49,-121.51,magmatic,73.86623165,602.6422764,1727.1875,23.80106572,166.1809045,1065.018315,4568.292683,3.588621444,26.82432432,10896.55172,2676.923077,53875,3549.813665
40.49,-121.51,magmatic,78.40130506,430.7723577,1636,17.05150977,154.9748744,995.2380952,4190.650407,2.122538293,20.87837838,12517.24138,2442.91498,58500,3376.832298
40.49,-121.51,magmatic,153.9967374,995.2439024,2731.375,53.81882771,289.5477387,1744.322344,6611.382114,7.549234136,57.7027027,17344.82759,3868.825911,74750,5470.310559
40.49,-121.51,magmatic,21.06035889,69.59349593,332.125,2.841918295,15.1758794,178.9377289,1220.731707,0.175054705,3.108108108,1517.241379,581.3765182,15000,866.0248447
40.49,-121.51,magmatic,30.88091354,271.6666667,784.8125,8.703374778,59.49748744,462.8205128,2667.479675,1.050328228,8.040540541,3655.172414,1304.453441,24250,1923.540373
40.49,-121.51,magmatic,38.18923328,225.4065041,782.3125,6.039076377,55.1758794,443.956044,2474.390244,0.612691466,6.216216216,4034.482759,1288.259109,29250,1893.291925
40.49,-121.51,magmatic,39.73898858,166.7886179,786.625,6.571936057,43.61809045,436.4468864,2691.869919,0.4595186,6.689189189,3896.551724,1306.882591,30250,1997.701863
40.49,-121.51,magmatic,42.21859706,631.8699187,1250.8125,19.18294849,110.201005,729.4871795,3448.780488,2.735229759,20.06756757,5931.034483,1944.129555,31125,2679.068323
40.49,-121.51,magmatic,66.73735726,669.5121951,1659.0625,38.18827709,162.6130653,1061.172161,5127.235772,4.004376368,27.02702703,7931.034483,2688.663968,33500,3903.416149
40.49,-121.51,magmatic,51.01141925,227.601626,966.9375,5.861456483,50.65326633,501.2820513,3232.520325,0.656455142,7.22972973,5137.931034,1566.801619,39250,2344.161491
40.49,-121.51,magmatic,56.29690049,593.2926829,1564.0625,59.3250444,193.8190955,1004.578755,4533.333333,7.286652079,44.52702703,9965.517241,2368.421053,40375,3363.478261
40.49,-121.51,magmatic,47.22675367,262.5203252,941.8125,7.104795737,52.61306533,549.2673993,3066.260163,0.481400438,6.283783784,5413.793103,1532.793522,43125,2322.919255
40.49,-121.51,magmatic,57.91190865,295.7723577,1168.25,7.637655417,66.88442211,623.4432234,3942.276423,0.612691466,7.5,5689.655172,1889.878543,44375,2931.552795
40.49,-121.51,magmatic,65.85644372,352.8455285,1248.8125,8.703374778,70.55276382,719.96337,4037.398374,1.006564551,10.94594595,6965.517241,2034.817814,50375,2983.726708
40.49,-121.51,magmatic,65.93800979,367.4390244,1222.5,8.348134991,68.84422111,671.4285714,3905.691057,0.787746171,7.22972973,6655.172414,1961.94332,51125,2969.689441
40.49,-121.51,magmatic,69.46166395,425.5691057,1562.375,17.93960924,142.1105528,928.021978,4126.829268,1.947483589,20.94594595,10551.72414,2305.263158,52250,3250.124224
40.49,-121.51,magmatic,86.00326264,623.902439,1830.5625,23.26820604,162.8643216,1121.428571,4721.138211,3.260393873,27.97297297,13172.41379,2745.34413,57250,3760
40.49,-121.51,magmatic,70.24469821,344.7154472,1049.625,10.12433393,70.85427136,619.2307692,3199.593496,1.006564551,8.310810811,11724.13793,1666.396761,61125,2428.198758
40.49,-121.51,magmatic,83.52365416,373.3739837,1116.1875,8.703374778,76.48241206,648.7179487,3161.788618,1.072210066,11.14864865,12206.89655,1738.05668,63875,2399.627329
40.49,-121.51,magmatic,92.67536705,427.5609756,1389.375,9.591474245,90.30150754,804.9450549,4330.894309,1.050328228,13.10810811,15965.51724,2195.546559,78375,3281.987578
40.49,-121.51,magmatic,8.026101142,51.09756098,176.75,2.664298401,11.65829146,96.7032967,719.1056911,0.153172867,1.891891892,551.7241379,313.7651822,4875,500.2484472
40.49,-121.51,magmatic,12.00652529,81.91056911,297.6875,3.374777975,24.32160804,170.8791209,965.0406504,0.328227571,2.297297297,1310.344828,475.3036437,12625,706.1490683
40.49,-121.51,magmatic,31.85970636,325.6504065,943.125,38.54351687,118.9949749,582.967033,2743.089431,6.323851204,25.87837838,5413.793103,1397.57085,24750,2015.652174
40.49,-121.51,magmatic,39.34747145,171.3821138,693,4.085257549,38.59296482,365.7509158,2115.04065,0.4595186,3.851351351,3482.758621,1092.307692,29625,1593.354037
40.49,-121.51,magmatic,29.82055465,188.3739837,744.5625,5.506216696,44.07035176,385.8974359,2404.471545,0.503282276,4.594594595,3551.724138,1189.878543,30250,1764.84472
40.49,-121.51,magmatic,32.77324633,192.6829268,759.5,4.618117229,47.18592965,419.047619,2514.227642,0.765864333,4.864864865,4137.931034,1261.94332,33250,1812.857143
40.49,-121.51,magmatic,52.3817292,387.2764228,1345.625,12.78863233,104.1708543,782.7838828,3946.341463,1.947483589,14.12162162,7206.896552,2057.08502,45875,2974.409938
40.49,-121.51,magmatic,62.25122349,447.0325203,1465.6875,18.47246892,125.5276382,888.8278388,4136.585366,2.669584245,20.33783784,9551.724138,2271.255061,51000,3145.52795
40.49,-121.51,magmatic,52.23491028,313.8617886,1226.6875,8.525754885,72.91457286,659.5238095,3929.268293,1.24726477,8.716216216,7137.931034,1962.753036,51750,2914.47205
40.49,-121.51,magmatic,64.81239804,296.7073171,1068.0625,9.413854352,75.9798995,590.6593407,3062.601626,1.225382932,9.932432432,9793.103448,1631.578947,59375,2278.012422
40.49,-121.51,magmatic,83.06688418,1043.943089,3382.6875,65.36412078,315.9798995,2058.424908,9010.162602,7.986870897,51.41891892,17413.7931,5088.663968,86375,7076.397516
40.49,-121.51,magmatic,16.99836868,1166.097561,4243.5,10.8348135,204.8743719,2496.520147,9962.195122,1.356673961,20.06756757,3310.344828,6360.323887,37750,8463.354037
40.49,-121.51,magmatic,58.07504078,414.0650407,1384.5625,14.92007105,117.0854271,837.5457875,3756.910569,1.947483589,15.87837838,6896.551724,2023.076923,38875,2840
40.49,-121.51,magmatic,40.09787928,256.0569106,1009.5625,7.460035524,59.74874372,547.6190476,3264.634146,0.831509847,6.756756757,5310.344828,1631.983806,40750,2317.329193
40.49,-121.51,magmatic,43.9314845,244.6341463,975.8125,5.861456483,55.37688442,532.4175824,3110.569106,0.765864333,6.756756757,4620.689655,1570.850202,41875,2266.708075
40.49,-121.51,magmatic,71.01141925,396.9918699,1560.875,12.78863233,93.76884422,838.6446886,5019.105691,1.422319475,11.68918919,8241.37931,2523.076923,57750,3677.639752
40.49,-121.51,magmatic,67.68352365,595.3252033,1965.625,25.04440497,189.4974874,1151.098901,5382.520325,4.485776805,31.08108108,15206.89655,2958.704453,71500,4149.440994
40.49,-121.51,magmatic,103.6867863,532.5609756,1986.9375,15.98579041,121.9095477,1096.520147,5639.837398,1.903719912,14.7972973,13448.27586,3087.854251,76250,4401.801242
40.49,-121.51,magmatic,274.0130506,1715,6126.875,68.20603908,464.4221106,3427.655678,17094.71545,10.61269147,69.52702703,110931.0345,9367.611336,365250,13501.98758
32,103.27,detrital,15.82381729,120.3252033,331.25,6.039076377,44.72361809,203.2967033,947.1544715,2.866520788,12.43243243,310.3448276,457.4898785,1575,708.0745342
32,103.27,detrital,8.482871126,312.601626,693.75,7.815275311,105.5276382,494.5054945,1443.089431,5.2297593,29.7972973,758.6206897,854.2510121,3462.5,1229.813665
32,103.27,detrital,12.56117455,231.300813,550,10.12433393,75.87939698,377.2893773,1284.552846,4.638949672,24.7972973,793.1034483,712.5506073,3500,1018.63354
32,103.27,detrital,17.29200653,314.6341463,700,6.74955595,114.5728643,494.5054945,1585.365854,11.75054705,33.24324324,903.4482759,923.0769231,4537.5,1285.714286
32,103.27,detrital,61.82707993,189.4308943,451.875,21.84724689,74.87437186,331.5018315,1089.430894,7.592997812,26.41891892,1548.275862,582.9959514,5337.5,888.1987578
32,103.27,detrital,11.74551387,272.7642276,535.625,40.14209591,112.5628141,390.1098901,1166.666667,5.164113786,32.09459459,748.2758621,680.1619433,5650,950.310559
32,103.27,detrital,19.08646003,344.7154472,675,55.06216696,119.0954774,507.3260073,1451.219512,4.967177243,33.10810811,1513.793103,850.2024291,6100,1198.757764
32,103.27,detrital,10.44045677,129.2682927,341.25,13.14387211,41.50753769,216.1172161,804.8780488,2.49452954,12.77027027,3162.068966,437.2469636,8900,639.7515528
32,103.27,detrital,19.90212072,283.7398374,731.25,28.41918295,87.43718593,472.5274725,1739.837398,5.90809628,25,1593.103448,987.854251,9412.5,1378.881988
32,103.27,detrital,23.00163132,495.9349593,962.5,71.93605684,217.5879397,719.7802198,2097.560976,21.05032823,75.13513514,1951.724138,1186.234818,10562.5,1602.484472
32,103.27,detrital,26.75367047,217.8861789,631.25,4.440497336,61.30653266,380.952381,1609.756098,4.113785558,14.59459459,3110.344828,874.4939271,10875,1285.714286
32,103.27,detrital,7.993474715,251.6260163,681.25,25.75488455,91.45728643,424.9084249,1654.471545,4.617067834,25.47297297,1041.37931,870.4453441,11050,1204.968944
32,103.27,detrital,41.92495922,191.4634146,400,25.93250444,74.3718593,261.9047619,1235.772358,4.245076586,25,3131.034483,578.9473684,11162.5,913.0434783
