,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
4461,7.2,76.58,145.64,0.63,17.58,30.62,69.77,1.03,2.7,87.93,32.49,214.05,320.83
1717,29.9,53.8,92.5,0.51,13.4,19.4,34.1,1.25,2.44,101.0,19.4,64.0,208.0
5994,15.0,131.0,187.0,2.2,41.0,43.0,60.0,6.0,9.2,163.0,35.0,177.0,348.0
7077,33.0,112.0,135.0,0.9,46.0,36.0,39.0,44.0,28.0,400.0,26.0,903.0,212.0
1553,11.6,68.7,119.2,0.28,14.3,23.9,41.7,1.66,3.3,80.0,23.2,80.0,253.0
5858,5.01,85.1,139.0,1.93,15.6,31.5,92.6,0.65,1.94,100.0,34.2,425.0,396.0
3122,12.8,55.9,107.1,0.2,8.4,21.3,59.8,0.43,0.58,276.0,31.3,697.0,307.0
5979,3.3,181.0,413.0,0.3,26.0,81.0,167.0,1.8,3.7,258.0,91.0,198.0,925.0
1242,2.06,28.53,76.16,0.17,3.01,10.22,37.23,0.05,0.39,83.45,13.89,154.01,276.23
6713,39.6,18.6,23.8,0.46,4.65,5.81,9.23,0.39,0.79,27.5,4.89,7.54,45.1
5209,4.79,42.1,92.7,0.56,8.12,17.68,59.2,0.55,3.19,9.75,25.02,33.57,254.0
2250,4.7,61.0,118.0,0.59,13.5,20.1,32.4,1.56,1.1,82.0,22.0,122.9,173.0
6581,16.5,11.6,23.5,0.32,3.08,4.73,14.8,0.21,0.74,136.0,5.98,132.0,64.9
2780,3.08,106.0,228.0,0.23,18.0,42.8,110.0,0.49,2.1,96.0,53.4,2090.0,520.0
1238,8.73,118.14,225.07,0.58,22.94,34.48,65.04,2.45,4.62,293.38,34.1,202.46,553.5
2604,2.24,105.0,106.0,0.5,14.7,30.8,22.1,0.38,1.69,12.7,18.9,523.0,152.0
713,24.92,49.8,104.0,0.48,10.5,20.9,59.7,0.81,1.83,264.0,24.4,349.0,258.0
1064,8.99,131.5,304.82,11.3,22.69,43.51,86.22,8.69,11.63,69.17,47.22,248.51,861.34
2006,7.6,91.8,153.4,0.15,18.9,32.4,49.3,1.29,2.87,76.0,32.2,125.0,339.0
6400,1.06,18.75,9.23,0.2,11.09,3.85,2.18,0.72,2.34,34.88,1.58,322.17,11.77
2139,3.7,47.8,85.3,0.09,10.2,17.1,25.7,0.89,1.72,41.0,16.7,49.0,186.0
5172,5.1,20.41,36.6,0.62,5.4,7.74,20.58,0.67,3.32,12.73,9.19,55.9,105.5
7195,172.0,866.0,640.0,8.0,416.0,213.0,106.0,186.0,217.0,1508.0,110.0,679.0,775.0
1294,9.09,84.05,203.73,0.62,15.34,30.55,100.07,0.82,2.11,85.15,40.18,139.67,708.69
1623,11.8,78.7,155.1,0.23,15.1,29.6,55.3,0.98,2.04,206.0,30.8,345.0,336.0
2159,39.1,148.8,246.2,0.87,37.8,52.5,79.6,4.4,8.38,144.0,50.2,93.0,584.0
4959,19.64,123.1,96.7,4.89,67.7,31.1,41.0,0.68,39.9,216.5,23.55,116.3,205.4
3626,5.37,88.7,163.0,0.46,19.85,36.6,59.6,0.96,3.43,111.0,31.4,273.0,301.0
3848,4.12,42.1,72.7,0.11,7.8,16.8,31.6,0.44,1.4,42.0,16.88,108.0,140.0
4724,3.8,102.1,244.0,0.45,16.1,43.9,125.8,0.71,2.03,139.92,63.3,229.81,733.0
1014,17.65,68.1,166.3,3.72,11.23,23.03,58.32,3.99,5.51,49.15,27.76,110.52,537.2
6337,1.82,12.49,29.89,0.41,2.21,6.57,28.34,0.04,0.27,9.16,8.52,398.88,96.66
3770,3.01,84.3,149.1,0.26,22.6,30.5,54.3,1.33,2.44,60.0,29.0,195.0,290.0
6054,8.5,64.0,104.0,0.2,14.0,22.0,35.0,1.3,2.8,171.0,21.0,248.0,211.0
4994,15.2,56.4,99.9,0.86,9.29,18.6,68.8,0.82,5.16,81.8,30.6,335.0,302.0
6242,14.18,33.0,93.0,0.44,5.9,16.0,88.0,0.33,0.87,271.0,26.0,1233.0,327.0
4,18.54,41.55,87.39,0.27,7.4,16.25,42.14,0.14,0.81,67.0,21.6,137.0,199.8
4326,1.94,198.0,404.0,0.14,18.89,77.5,128.0,0.54,2.17,155.5,82.7,3692.0,886.0
5464,4.21,101.7,181.07,0.86,15.41,39.23,62.81,3.62,3.09,13.56,34.525000000000006,135.87,377.57
2488,2.35,135.0,227.0,0.61,18.5,46.6,78.6,0.27,1.7,37.4,47.1,689.0,488.0
3658,17.4,254.0,529.0,3.87,49.0,93.5,283.0,11.5,11.8,205.0,127.0,1505.0,1420.0
951,19.21,235.49,451.35,0.12,38.93,91.85,166.66,2.44,5.58,791.77,98.88,1291.34,894.4
3215,11.3,186.0,267.0,0.39,39.2,61.9,102.0,1.86,5.2,210.0,56.5,447.0,540.0
3219,11.2,114.0,240.0,0.41,19.6,45.4,95.9,0.94,2.48,208.0,49.2,507.0,488.0
255,0.68,248.0,313.0,0.42,57.9,81.9,88.9,2.0,6.45,87.6,59.1,338.0,487.0
239,94.6,112.0,186.0,3.1,33.3,42.3,70.9,45.1,12.7,276.0,42.4,189.0,386.0
180,14.9,101.0,159.0,2.6,27.3,36.6,65.6,8.13,7.35,177.0,33.1,306.0,320.0
